Season,Crop Name,N (kg/ha),P₂O₅ (kg/ha),K₂O (kg/ha),pH,Moisture (%),Temp (°C),Yield Success (0-1)
Kharif,Ragi,59.17,45.18,26,5.91,67.16,27.62,0.8087
Kharif,Groundnut,20.94,41.45,29.03,6.06,70.63,31.9,0.719
Kharif,Groundnut,23.18,47.25,27.22,6.31,72.93,27.04,0.7834
Kharif,Ragi,51.34,43.33,25.97,6.06,68.97,28.53,0.7851
Kharif,Jowar,87.75,41.3,46.91,6.29,68.14,31.41,0.7023
Kharif,Jowar,89.85,49.77,48.84,6.34,62.33,27.94,0.7464
Rabi,Wheat,127.85,51.43,45.93,6.3,72.01,24.71,0.7562
Rabi,Wheat,142.85,57.26,43.21,7.36,78.68,23.15,0.7308
Annual,Sugarcane,257.57,98.39,186.29,6.84,76.37,31.49,0.6522
Kharif,Ragi,51.58,46.39,26.28,6.12,68.86,27.71,0.8203
Kharif,Cotton,130.94,68.8,74.05,6.76,73.4,33.02,0.8026
Kharif,Jowar,80.14,41.96,41.54,7.73,60.92,28.97,0.7134
Kharif,Cotton,137.91,64.59,74.04,6.24,76.31,25.91,0.7388
Rabi,Wheat,147.91,55.43,43.42,7.11,70.92,21.77,0.8129
Rabi,Wheat,122.41,57.73,48.72,7.01,73,20.32,0.7154
Annual,Sugarcane,277.86,87.6,150.18,7.48,80.08,31.45,0.7655
Kharif,Jowar,96.95,49.77,42.29,6.69,68.42,30.42,0.6951
Kharif,Ragi,51.01,49.3,27.1,7.19,65.04,27.57,0.7458
Kharif,Ragi,57.33,43.47,27.86,5.91,60.44,26.59,0.7373
Kharif,Rice,127.74,54.69,51.93,6.21,81.41,25.31,0.7854
Kharif,Ragi,57.29,41.23,25.35,6.71,73.81,26.77,0.6885
Kharif,Rice,114.13,44.5,51.54,6.2,86.49,26.45,0.8292
Kharif,Rice,114.88,52.67,48.09,5.55,91.49,31.11,0.7875
Kharif,Cotton,144.87,71.27,64.25,6.75,70.41,30.62,0.769
Kharif,Cotton,139.01,72.08,74.59,7,79.53,31.27,0.7438
Kharif,Rice,104.83,55.66,49.02,6.32,88.6,28.4,0.8308
Annual,Sugarcane,283.73,88.73,179.13,7.42,82.52,28.97,0.7697
Kharif,Jowar,96.05,47.09,48.54,7.89,65.26,28.41,0.7146
Kharif,Ragi,56.88,46.58,25.92,7.42,63.5,28.96,0.7286
Kharif,Jowar,93.15,48.55,45.36,6.12,57.96,29.06,0.7701
Kharif,Rice,133.01,45.72,54.19,5.9,84.87,34.83,0.7541
Kharif,Jowar,82.08,43.48,45.01,6.63,61.8,31.39,0.8069
Kharif,Groundnut,22.76,43.23,29.88,7.06,68.68,27.68,0.7874
Kharif,Groundnut,24.54,44.56,25.49,6.24,74.36,31.39,0.7052
Rabi,Wheat,142.46,52.53,49.9,6.85,78.92,20.46,0.6853
Rabi,Wheat,132.1,58.58,48.94,6.06,67.24,23.61,0.6864
Annual,Sugarcane,266.37,88.29,179.17,6.74,81.43,28.88,0.8139
Kharif,Cotton,129.71,69.58,71.95,7.62,72.58,32.32,0.7645
Kharif,Cotton,142.39,65.13,62.6,7.01,73.43,29.26,0.8313
Annual,Sugarcane,281.87,84.18,153.14,7.46,79.05,29.73,0.781
Annual,Sugarcane,251.14,82.6,170.87,7.39,79.2,29.56,0.7875
Kharif,Rice,139.85,40.54,53.66,6.77,86.73,31.5,0.7498
Rabi,Wheat,135.76,52.08,40.59,7.18,73.42,22.71,0.8086
Annual,Sugarcane,253.43,90.19,189.52,6.59,79.76,28.88,0.7098
Annual,Sugarcane,254.48,77.58,182.11,6.81,76.37,29.69,0.7099
Annual,Sugarcane,257.66,84.17,181.1,6.55,80.25,30.49,0.7742
Kharif,Cotton,147.73,67.07,68.45,7.13,74.94,30.83,0.8817
Annual,Sugarcane,289.83,97.84,164.88,6.96,83.06,31.12,0.756
Kharif,Cotton,129.68,66.33,73.42,6.48,75,34.34,0.7875
Kharif,Jowar,99.41,48.47,42.31,7.29,64.22,27.89,0.722
Kharif,Cotton,145.31,60.11,61.69,6.43,73.94,25.49,0.6676
Kharif,Jowar,81.99,40.7,46.25,6.76,68.71,28.66,0.7238
Annual,Sugarcane,253.17,93.29,154.16,6.65,80.51,29.97,0.7545
Kharif,Cotton,138,62.16,72.24,7.78,77.91,25.59,0.6827
Kharif,Rice,107.29,50.89,57.34,5.56,82.27,31.55,0.7118
Kharif,Rice,132.56,48.6,46.16,6.91,82.67,29.11,0.7893
Kharif,Groundnut,22.38,45.73,25.6,6.24,71.2,34.54,0.7682
Kharif,Jowar,99.14,42.27,46.78,7.98,63.82,28.03,0.7033
Rabi,Wheat,140.21,54.69,45.56,6.83,76.54,23.78,0.8601
Kharif,Cotton,147.2,64.78,73.43,7.63,72.43,34.06,0.6703
Kharif,Rice,145.97,43.97,58.95,6.14,94.19,33.79,0.6555
Kharif,Cotton,148.49,74.56,70.52,6.45,70.64,34.87,0.6251
Kharif,Cotton,135.52,70.42,61.42,6.91,74.41,30.51,0.878
Kharif,Ragi,50.6,45.57,29.17,5.93,65.34,28.83,0.7554
Rabi,Wheat,143.02,50.42,48.73,6.7,66.77,20.4,0.6777
Annual,Sugarcane,263.9,92.21,176.89,6.61,79.6,30.74,0.8004
Kharif,Groundnut,21.62,48.6,28.41,6.37,68.88,29.14,0.8051
Rabi,Wheat,124.48,56.97,49.37,6.79,65.72,23.79,0.7131
Kharif,Ragi,52.72,46.94,29.73,5.81,69.72,28.31,0.7603
Kharif,Jowar,83.99,49.92,43.16,7.34,61.04,31.39,0.7297
Annual,Sugarcane,283.97,81.67,179.85,7.2,81.45,28.16,0.756
Kharif,Groundnut,20.44,49.4,27.29,6.57,74.52,26.13,0.6912
Rabi,Wheat,138.41,57.17,48.92,6.34,67.91,22.07,0.7687
Kharif,Cotton,125.35,71.7,72.83,7.72,76.53,27.93,0.7184
Kharif,Jowar,94.94,48.24,43.67,7.44,69.31,31.3,0.7103
Kharif,Cotton,147.59,68.16,64.04,6.22,78.54,33.36,0.7178
Rabi,Wheat,140.73,51.81,46.27,6.03,79.99,20.08,0.6499
Kharif,Cotton,147.3,66.88,69.85,6.86,70.05,31.87,0.782
Annual,Sugarcane,291.66,83.84,160.98,6.63,81.99,29.51,0.7672
Rabi,Wheat,122.95,50.96,44.45,6.74,76.98,21.06,0.7577
Kharif,Jowar,82.01,48.44,43.8,6.07,56.61,29.29,0.7061
Kharif,Jowar,88.62,46.12,45.28,7.21,63.5,28.58,0.9059
Rabi,Wheat,139.01,57.8,46.15,6.86,73.71,24.14,0.8316
Annual,Sugarcane,267.48,90.65,175.2,6.63,81.12,31.53,0.7882
Kharif,Groundnut,21.28,44.27,28.93,6.85,70.08,27.21,0.8406
Kharif,Groundnut,24.96,46.03,29.62,6.82,73.16,32.34,0.7307
Kharif,Rice,101.58,52.89,49.91,6.55,87.88,26.82,0.8065
Kharif,Rice,130.72,57.76,59.75,6.46,94.89,32.6,0.6862
Kharif,Jowar,91.12,44.78,47.64,7.22,58.24,27.26,0.8027
Kharif,Groundnut,23.49,42.93,27.43,7.23,69.39,31.38,0.8437
Kharif,Jowar,93.91,41.86,43.49,6.9,68.46,30.05,0.797
Kharif,Ragi,58.81,40.28,27.04,6.86,61.66,26.37,0.6797
Kharif,Ragi,53.9,41.26,29.38,6.64,60.44,26.96,0.7232
Annual,Sugarcane,298.86,97.27,174.12,7.4,78.01,31.63,0.6704
Kharif,Ragi,57.77,40.89,28.44,6.18,64.37,29.59,0.7263
Annual,Sugarcane,297.23,88.74,177.88,7.16,82.28,31.68,0.7501
Kharif,Jowar,91.86,44.56,49.27,7.26,59.25,30.86,0.8029
Kharif,Groundnut,23.86,46.2,29.68,6.65,70.04,25.09,0.7684
Kharif,Ragi,54.34,45.3,25.14,6.47,70.34,26.89,0.825
Annual,Sugarcane,283.07,76.75,177.66,6.71,82.73,28.49,0.7128
Kharif,Groundnut,22.67,46.94,28.19,7.32,68.37,31.82,0.8182
Kharif,Ragi,59.27,46.51,26.97,5.94,71.45,29.95,0.7142
Annual,Sugarcane,261.88,99.58,176.56,6.56,75.12,31.57,0.6283
Annual,Sugarcane,281.07,83.19,178.17,6.7,84.15,30.39,0.7816
Kharif,Groundnut,23.01,44.51,26.55,7.26,69.14,27.45,0.8297
Kharif,Rice,102.14,42.67,57.43,6.31,86.44,27.81,0.7459
Kharif,Rice,126.07,56.49,54.02,6.85,90,25.02,0.7314
Annual,Sugarcane,284.08,80.47,181.57,6.68,84.77,31.15,0.6939
Rabi,Wheat,148.9,59.56,49.05,6.19,70.28,23.95,0.6441
Kharif,Groundnut,23.43,43.05,25.1,7,74.08,33.97,0.6946
Kharif,Rice,111.73,47.68,43.9,6.78,87.09,29.23,0.8093
Kharif,Ragi,59.94,48.18,29.89,5.58,71.84,27.92,0.6568
Rabi,Wheat,121.71,58.54,41.63,6.8,73.82,22.31,0.7844
Kharif,Rice,112.35,49.07,47.26,5.78,83.84,25.4,0.7577
Kharif,Rice,138.97,56.17,53.42,6.85,91.49,27.79,0.7257
Kharif,Cotton,148.4,73.5,72.81,6.95,78.98,28.2,0.6998
Annual,Sugarcane,275.86,93.91,163.73,7.19,75.27,31.36,0.7611
Kharif,Jowar,89.37,43.86,41.45,6.75,58.29,28.89,0.8286
Rabi,Wheat,129.41,55.56,43.05,6.78,75.58,24.11,0.8359
Kharif,Cotton,146.41,61.82,60.12,7.94,76.47,32.17,0.652
Kharif,Jowar,85.4,49.69,45.67,6.94,68.76,27.61,0.7348
Kharif,Groundnut,20.62,43.87,28.04,6.9,67.85,27.04,0.7987
Kharif,Jowar,81.33,48.19,40.33,6.54,59.19,30.78,0.679
Kharif,Groundnut,24.68,44.34,27.78,6.21,66.36,25.95,0.7188
Kharif,Groundnut,23.49,49.03,25.12,6.97,67.76,31.72,0.7301
Kharif,Ragi,51.55,46.94,26.02,7.35,61.04,29.26,0.6657
Kharif,Cotton,139.9,60.91,72.72,6.97,71.41,34.8,0.6964
Kharif,Rice,138.79,42.58,41.76,5.89,80.87,25.59,0.6364
Kharif,Groundnut,23.09,45.55,29.65,6.11,68.72,26.44,0.7477
Annual,Sugarcane,295.04,91.62,178.69,6.57,79.62,28.83,0.7428
Kharif,Ragi,56.83,43.86,29.97,6.57,73.01,27.3,0.7719
Kharif,Groundnut,22.37,44.17,29.46,6.83,65.43,30.76,0.8188
Annual,Sugarcane,269.34,80.99,169.78,6.75,82.6,30.23,0.8422
Kharif,Ragi,51.99,47.51,27.88,6.61,61.03,29.46,0.7534
Kharif,Groundnut,20.3,41.34,25.88,6.52,65.51,27.29,0.6661
Kharif,Jowar,97.05,40.33,45.44,7.7,63.72,29.35,0.7792
Rabi,Wheat,132,52.4,42.28,6.63,76.26,20.39,0.7692
Annual,Sugarcane,288,80.69,166.85,7.09,81.24,30.82,0.8283
Annual,Sugarcane,279.46,78.45,159.56,7.16,77.17,29.47,0.7854
Rabi,Wheat,149.82,51.98,49.92,6.94,69.66,24.53,0.665
Kharif,Cotton,120.49,70.92,71.55,6.56,72.55,27.15,0.7223
Annual,Sugarcane,257.66,91.57,177.7,6.96,76.13,29.99,0.8114
Kharif,Rice,145.79,56.83,54.51,6.36,88.2,32.2,0.7795
Rabi,Wheat,139.19,55.15,43.76,6.63,65.81,20.35,0.7942
Kharif,Rice,110.47,52.38,44.78,6.45,87.32,26.66,0.8083
Kharif,Ragi,51.25,42.94,25.31,7.22,74.55,27.21,0.6589
Annual,Sugarcane,295.16,94.78,156.6,7.42,81.8,29.89,0.7238
Rabi,Wheat,148.89,59.26,47.41,6.32,77.45,22.28,0.7016
Annual,Sugarcane,273.54,82.23,164.29,7.28,78.88,30,0.8709
Annual,Sugarcane,266.74,92.28,187.05,6.57,78.17,31.32,0.7124
Kharif,Groundnut,22.55,43.95,29.44,7.15,66.29,29.3,0.7982
Rabi,Wheat,120.56,53.48,49.39,6.64,68.36,20.3,0.6897
Annual,Sugarcane,269.1,97.35,160.66,7.33,79.91,30.21,0.8105
Kharif,Jowar,88.94,48.51,45.73,6.89,64.62,28.98,0.8704
Kharif,Ragi,55.92,47.83,29.41,5.63,63.12,29.91,0.6731
Kharif,Rice,100.77,55.73,47.55,6.37,82.37,29.1,0.7657
Kharif,Rice,110.59,50.08,56.17,5.98,80.57,31.1,0.7746
Kharif,Rice,118.92,58.71,56.35,6.92,86.04,30.45,0.7561
Kharif,Groundnut,21.62,42.26,26.18,7.25,70.43,27.42,0.7753
Annual,Sugarcane,278.11,99.41,162.25,6.55,76.3,28.94,0.6971
Kharif,Cotton,131.82,66.95,73.19,7.85,71.66,26.09,0.7202
Annual,Sugarcane,281.21,96.92,166.46,7.02,78.27,30.05,0.8675
Kharif,Jowar,91.6,43.83,40.03,7.37,60.8,29.64,0.8299
Kharif,Ragi,56.97,41.61,27.79,7.27,62.93,27.52,0.7661
Annual,Sugarcane,295.56,94.32,155.74,7.04,84.14,30.63,0.7247
Kharif,Ragi,59.68,47.9,27.35,6.31,64.55,29.59,0.7538
Kharif,Groundnut,22.06,42.45,28.52,7.4,69.3,28.79,0.8048
Kharif,Ragi,53.67,42.98,26.24,6.17,60.8,28.82,0.7661
Kharif,Cotton,148.57,62.25,69.6,6.1,78,33.93,0.6668
Kharif,Rice,127.22,52.9,41.09,5.68,87.08,29.44,0.8169
Kharif,Jowar,92.79,43.48,41.95,6.36,59.36,27.01,0.7294
Kharif,Jowar,90.55,40.65,46.4,6.12,64.02,31.45,0.7444
Kharif,Groundnut,24.85,48,28.08,7.37,72.08,29.14,0.7344
Kharif,Ragi,54.74,46.07,25.94,5.54,71.31,27.43,0.7798
Kharif,Cotton,148.21,71.13,60.5,6.97,79.66,25.28,0.6469
Kharif,Rice,107.02,49.92,47.36,6.25,93.4,33.11,0.8
Kharif,Rice,107.43,46.05,50.6,6.25,91.5,28.3,0.8307
Kharif,Ragi,51.3,46.92,28.99,6.41,64.68,26.25,0.7449
Kharif,Ragi,57.59,47.37,28.84,6.56,60.89,29.17,0.7455
Kharif,Groundnut,23.4,43.23,26.55,7.06,73.94,27.16,0.7614
Kharif,Rice,101.53,42.01,58.18,5.86,94.12,34.92,0.5881
Kharif,Ragi,55.95,43.54,25.03,6.71,62.54,28.91,0.767
Kharif,Groundnut,21.87,40.72,25.49,6.07,71.93,29.92,0.7316
Kharif,Ragi,55.72,49.33,25.08,6.74,64.66,26.14,0.7061
Kharif,Jowar,90.22,48.37,44.68,7.17,67.86,31.96,0.7809
Rabi,Wheat,123.56,58.49,44.51,7.31,74.94,21.06,0.7328
Rabi,Wheat,120.1,57.77,43.91,7.24,69.49,21.18,0.721
Annual,Sugarcane,288.59,95.6,180.26,7.03,83.88,28.37,0.7204
Rabi,Wheat,140.52,50.01,43.56,7.28,75.89,20.58,0.7016
Kharif,Cotton,149.72,66.93,73.4,7,76.45,26.58,0.7576
Kharif,Rice,143.87,45.27,48.57,5.83,82.73,29.85,0.7836
Kharif,Groundnut,22.23,45.23,25.07,6.76,69.03,34.58,0.8126
Kharif,Jowar,99.37,47.47,48.22,7.01,60.46,27.74,0.7449
Rabi,Wheat,141.79,51.77,44.01,6.74,73.82,24.25,0.8178
Annual,Sugarcane,252.77,87.62,159.89,7.49,80.06,28.85,0.7524
Kharif,Cotton,122.22,64.36,64.63,7.29,77.9,27.02,0.7347
Kharif,Rice,124.12,40.48,43.24,6.15,83.05,27.24,0.7548
Kharif,Rice,130.55,57.1,55.1,5.52,82.04,34.28,0.6667
Kharif,Cotton,140.87,60.56,72.28,6.47,78.13,34.39,0.6793
Kharif,Rice,100.65,58.59,40.59,6.18,84.19,34.6,0.6476
Kharif,Cotton,142.4,66.05,63.78,7.5,78.53,32.74,0.7515
Kharif,Jowar,92.12,43.87,48.53,7.46,55.17,28.95,0.7666
Kharif,Jowar,98.63,43.76,47.37,7.84,65.04,28.79,0.746
Kharif,Cotton,125.58,64.41,71.42,7.66,76.83,33.98,0.7154
Kharif,Rice,113.94,57.55,43.54,6.67,81.49,27.35,0.6888
Kharif,Rice,116.58,43.48,48.53,5.9,83.74,32.99,0.7748
Kharif,Groundnut,20.95,47.08,26.96,6.71,70.19,34.23,0.8176
Kharif,Jowar,97.05,43.2,46.95,7.72,60.92,27.16,0.7232
Annual,Sugarcane,270.17,93.49,174.04,6.9,80.88,28.63,0.8387
Kharif,Jowar,89.98,43.01,45.18,6.14,64.82,30.33,0.8386
Kharif,Cotton,122.93,67.97,63.01,6.49,76.41,34.67,0.7454
Kharif,Rice,108.47,59.7,48.35,6.46,86.42,32.66,0.7706
Annual,Sugarcane,262.51,99.87,165.17,7.21,78.62,31.11,0.7515
Kharif,Rice,112.58,42.82,57.51,5.69,86.88,32.38,0.7274
Kharif,Jowar,89.16,40.85,40.6,7.49,55.93,31.09,0.6837
Kharif,Rice,112.17,42.57,44.91,5.73,83.49,27.04,0.7012
Kharif,Cotton,137.2,60.67,66.75,6.88,77.91,27.96,0.8195
Annual,Sugarcane,258.87,86.24,187.6,6.51,84.01,31.31,0.6614
Kharif,Cotton,135.39,67.92,65.23,6.42,71.72,26.11,0.8121
Kharif,Jowar,88.52,47.73,46.51,6.48,62.95,30.02,0.8513
Annual,Sugarcane,277.41,76.71,151.49,6.71,81.92,28.29,0.6913
Rabi,Wheat,121.52,56.1,47.97,6.55,77.68,20.87,0.7232
Kharif,Cotton,147.16,60.4,66.33,7.27,70.22,30.27,0.7284
Kharif,Jowar,92.09,44.03,48.3,7.15,57.51,27.46,0.7755
Rabi,Wheat,149.73,59.06,43.1,6.69,66.9,21.99,0.7329
Kharif,Rice,110.68,42.81,57.51,6.16,90.66,31.7,0.7563
Rabi,Wheat,124.57,53.88,40.93,7.35,65.32,20.66,0.6478
Kharif,Groundnut,22.46,41.42,27.31,6.15,70.52,25.56,0.7833
Rabi,Wheat,136.84,55.03,49.39,7.5,72.67,20.17,0.7532
Kharif,Groundnut,21.17,43.69,26.86,6.17,68.09,29.79,0.8127
Kharif,Jowar,91.53,48.98,44.57,6.22,66.07,29.32,0.8031
Kharif,Groundnut,20.64,47.98,28.15,6.51,66.68,30.94,0.769
Kharif,Jowar,91.02,45.03,47.63,6.01,60.35,31.78,0.7648
Annual,Sugarcane,286.5,89.85,165.5,6.9,75.55,30.56,0.8131
Kharif,Rice,105.75,44.79,42.67,6.48,85.26,26.79,0.7274
Kharif,Ragi,50.91,45.99,26.63,7.38,69.66,26.95,0.7452
Annual,Sugarcane,273.36,87.59,180.35,7.17,80.63,28.33,0.8424
Kharif,Groundnut,23.75,47.4,26.25,6.22,65.63,27.01,0.6951
Kharif,Ragi,52.6,41.25,27.95,7.03,63.15,26.02,0.7075
Kharif,Jowar,83.21,44.68,44,6.73,63.29,30.52,0.8561
Kharif,Jowar,82.14,45.45,42.52,6.99,56.88,31.34,0.7611
Kharif,Jowar,81.89,49.27,41.86,6.95,63.65,28.56,0.7606
Kharif,Jowar,97.73,43.48,43.08,7.61,57.94,27.83,0.7211
Kharif,Jowar,88.05,41.95,43.33,6.11,59.13,28.19,0.7498
Kharif,Groundnut,24.68,44.18,26.36,6.81,69.56,25.59,0.7882
Kharif,Ragi,51.29,46.53,28.92,5.8,61.21,28.46,0.7179
Kharif,Jowar,99.82,42.62,44,6.97,55.18,30.13,0.757
Kharif,Groundnut,20.68,44,29.46,6.45,68.44,33.98,0.7317
Rabi,Wheat,130.68,52.71,43.4,6.61,68.01,20.53,0.7801
Kharif,Cotton,134.39,71.65,66.91,6.9,76.65,28.57,0.8926
Kharif,Ragi,51.58,41.19,28.5,6.34,69.31,26.75,0.7606
Kharif,Jowar,99.81,46.4,49.26,7.17,58.15,29.81,0.7511
Kharif,Ragi,53.62,41.09,25.94,7,65.09,26.31,0.721
Kharif,Groundnut,20.68,40.59,26.12,6.04,67.8,34.07,0.6364
Kharif,Groundnut,22.41,43.76,25.65,6.14,68.94,26.42,0.7696
Kharif,Cotton,149.32,67.99,73.83,7.98,77.1,29.07,0.7123
Kharif,Rice,130.7,49.44,46.51,6.52,83.03,25.02,0.7846
Kharif,Ragi,50.64,49.81,25.03,7.37,66.96,28.75,0.6551
Kharif,Cotton,126.2,67.46,61.6,5.98,79.28,29.21,0.7309
Kharif,Groundnut,23.47,41.4,25.66,6.51,73.19,27.56,0.7258
Kharif,Jowar,93.21,47.59,46.15,8,65.93,27.35,0.7178
Kharif,Jowar,80.72,42.01,43.06,6.45,60.66,31.12,0.7202
Kharif,Cotton,128.35,68.77,72.29,7.08,77.8,32.12,0.8001
Kharif,Rice,129.45,58.11,51.68,6.18,82.12,31.35,0.8135
Kharif,Ragi,54.47,43.72,28.53,5.52,74.24,28.48,0.7589
Kharif,Jowar,91.61,44.78,42.44,7.73,58.98,31.87,0.7613
Kharif,Groundnut,22.41,47.37,26.92,7.27,67.09,34.74,0.7529
Kharif,Groundnut,23.67,45.24,29.36,6.08,73.35,30.97,0.7486
Kharif,Ragi,50.2,47.36,27.19,6.33,63.89,28.27,0.8048
Kharif,Rice,118.62,57.12,43.19,6.25,91.45,31.51,0.7936
Kharif,Rice,134.53,54.45,55.09,6.88,93.88,25.1,0.6662
Kharif,Cotton,144.85,74.58,64.38,7.81,72.26,32.22,0.6803
Kharif,Rice,132.9,45.51,43.13,5.76,87.39,30.1,0.8217
Kharif,Cotton,132.56,67.53,62.86,6.64,77.57,34.78,0.7924
Rabi,Wheat,149.05,54,46.75,7.22,67.6,20.54,0.7041
Rabi,Wheat,145.94,55.29,44.62,7.07,65.92,21.35,0.7811
Kharif,Ragi,54.89,48.07,29.42,5.9,72.2,27.9,0.7766
Annual,Sugarcane,274.56,93.24,180.07,7.48,84.78,30.28,0.747
Kharif,Cotton,147.72,67.65,67.43,7.11,72.75,26.2,0.8101
Kharif,Rice,146.68,50.04,54.96,5.75,92.22,27.38,0.7344
Kharif,Groundnut,20.62,40.74,29.59,6.77,70.9,27.97,0.7456
Kharif,Ragi,51.96,48.94,29.81,6.1,74.97,26.74,0.6378
Kharif,Cotton,140.58,64.91,71.19,6.08,73.55,31.45,0.7888
Kharif,Ragi,54.88,42.66,26.57,6.89,70.66,28.6,0.8354
Kharif,Ragi,54.43,46.59,25.42,5.7,74.7,26.04,0.6663
Kharif,Ragi,51.09,45.79,26.9,5.87,74.73,29.12,0.7222
Kharif,Jowar,97.72,45.53,40.46,6.77,62.03,31.54,0.7588
Kharif,Rice,109.82,51.57,56.94,5.91,91.53,28.23,0.7664
Rabi,Wheat,131.5,50.75,40.89,6.61,77.54,24.47,0.704
Kharif,Cotton,139.32,74.13,61.53,7.68,70.01,30.33,0.6882
Kharif,Rice,115.65,52.22,44.25,6.09,80.95,31.9,0.7802
Annual,Sugarcane,276.47,95.71,160.42,6.67,81.81,31.71,0.744
Kharif,Jowar,99.5,41.18,49.46,7.17,56.6,31.45,0.6381
Kharif,Jowar,98.35,45.88,41.04,7.63,61.18,31.31,0.7222
Rabi,Wheat,137.43,51.91,47.73,6.09,79.65,22.39,0.7331
Kharif,Ragi,59.12,44.32,28.79,6.26,71.7,27.43,0.7866
Kharif,Ragi,57.19,43.8,25.54,6.45,66.15,28.13,0.8536
Kharif,Groundnut,20.19,47.19,29.99,6.53,70.34,30.93,0.7579
Annual,Sugarcane,293.46,97.3,153.5,7.43,83.86,29.36,0.6417
Kharif,Jowar,95.91,43.25,47.48,6.19,66.39,31.98,0.6869
Rabi,Wheat,143.84,55.21,44.18,6.75,71.83,22.08,0.9123
Kharif,Groundnut,23.09,47.98,27.24,6.23,74.07,26.03,0.7302
Annual,Sugarcane,284.1,97.31,166.62,6.69,81.06,28.36,0.7525
Annual,Sugarcane,274.07,80.17,186.69,6.71,75.68,31.73,0.6861
Kharif,Cotton,127.56,74.49,68.72,6.88,78.21,32.87,0.7646
Kharif,Ragi,58.96,49.27,29.84,7.02,68.09,29.88,0.6566
Kharif,Groundnut,21.05,47.92,25.5,6.88,71.02,25.61,0.7317
Rabi,Wheat,128.68,59.81,49.41,7.34,75.69,23.49,0.6772
Annual,Sugarcane,283.69,93.13,186.17,7.15,81.16,31.16,0.7735
Rabi,Wheat,147.26,58.74,42.59,7.01,74.03,20.02,0.7008
Annual,Sugarcane,269.09,93.5,167.15,7.06,81.41,29.66,0.8808
Annual,Sugarcane,260.19,81.24,162.24,7.18,75.47,31.54,0.7069
Kharif,Rice,115.19,55.91,52.56,6.49,83.83,33.21,0.7758
Kharif,Cotton,124.68,63.45,64.39,6.2,78.3,26.4,0.6951
Kharif,Rice,107.93,55.83,43.58,6.04,88.14,31.79,0.7807
Kharif,Cotton,129.77,73.6,65.99,6.04,73.23,27.92,0.7571
Annual,Sugarcane,297.86,95.76,155.7,7.08,84.56,31.52,0.6565
Rabi,Wheat,142.13,52.06,49.12,6.48,65.05,24.04,0.6786
Rabi,Wheat,124.65,50.32,48.01,6.8,74.3,20.2,0.7121
Kharif,Jowar,98.63,40.72,41.22,7.96,68.22,28.72,0.6242
